neuron_idx,a_j,b_j
0,0.01844680,0.53348809
1,0.06435477,0.72474466
2,0.04144934,-0.04069374
3,0.04970532,0.87153323
4,0.03616857,0.58567056
5,0.01301655,0.00263280
6,0.06061718,0.75040519
7,-0.08710915,-0.73564229
8,0.06695928,-0.19598556
9,-0.06779895,0.13748582
10,0.04350596,0.64623333
11,0.05625396,0.66011136
12,0.06880172,-0.26502792
13,-0.05198718,0.11862211
14,0.03246892,-0.11894277
15,0.00654171,-0.47852521
16,-0.06990970,-0.73675415
17,-0.01874574,0.07127667
18,-0.06721433,0.37376384
19,-0.02966611,0.41902610
20,0.03478081,0.61109133
21,-0.02431706,0.46285542
22,0.03548950,-0.10299596
23,-0.08317846,-0.71422385
24,-0.03275848,0.08447766
25,0.07271051,-0.19907570
26,0.16117288,-1.00000037
27,0.06417738,0.82873267
28,-0.07755913,0.21910558
29,0.06129341,0.68183621
30,0.00544035,0.00403545
31,-0.09227484,-0.79645933
32,0.03524405,-0.43500426
33,-0.06552004,0.32344713
34,0.06292646,0.84337047
35,-0.07394502,0.23860234
36,0.07048719,0.82615704
37,0.08499880,0.78514050
38,0.01703978,-0.46846744
39,-0.05094040,-0.64360823
40,-0.06632182,0.33019355
41,0.00727732,0.52680244
42,-0.05703579,0.11956318
43,0.04522482,0.60485403
44,0.02547035,0.93344815
45,-0.05893355,-0.66734497
46,0.03513789,-0.05261351
47,-0.08022002,-0.81469238
48,0.06814121,-0.34002090
49,-0.07874094,-0.84302446
50,0.02219906,0.52191996
51,-0.07087526,0.17020126
52,-0.05400284,0.40388764
53,-0.02948061,0.04860513
54,0.13679002,-1.00000035
55,-0.03508104,-0.59147264
56,0.03837128,-0.08934121
57,-0.04840601,-0.66171817
58,0.06446838,0.65924175
59,0.16673516,-1.00435705
60,0.06598159,-0.34679719
61,0.00628079,0.00547727
62,0.04172790,-0.10357387
63,-0.02096273,-0.52868867
64,0.04721234,0.89369769
65,-0.07273396,0.26805351
66,-0.07263921,-0.76836478
67,0.03319336,0.91086499
68,-0.05222110,-0.88132837
69,-0.04739021,0.36611523
70,-0.01339082,0.97910233
71,-0.04064600,0.36424688
72,-0.00042125,0.03377077
73,-0.07379385,-0.65915597
74,-0.07894096,0.14784020
75,-0.02972741,0.46158229
76,-0.07526985,-0.82265837
77,0.03962912,0.60378129
78,-0.08358140,0.22028654
79,-0.05982077,-0.86525369
80,0.06335975,0.61067902
81,-0.07423140,0.21005806
82,0.06202223,0.64500265
83,-0.04646495,-0.60910094
84,0.07779942,-0.35698725
85,0.07896036,0.82680732
86,0.04615397,0.87010592
87,0.01818349,0.93982102
88,0.12741402,-1.00000033
89,0.04891111,-0.14728186
90,0.04458954,0.90954742
91,-0.07130898,0.31190761
92,0.03008974,-0.06681299
93,-0.08724446,-0.72716079
94,-0.01316727,0.01737142
95,0.03198747,0.55833463
96,-0.07741732,0.17017441
97,0.06171191,-0.20603559
98,0.00502885,0.99899864
99,-0.07874829,-0.75889917
100,0.07741006,0.74694566
101,-0.06741815,-0.65675936
102,-0.00055214,-0.47495996
103,0.07750023,0.77344706
104,0.05734382,-0.39804958
105,-0.03452725,-0.58779184
106,-0.02884867,-0.54368462
107,0.05856033,0.90677045
108,0.03512322,0.88459249
109,-0.00829743,0.46694497
110,-0.05593698,0.11561380
111,0.00244306,0.97101433
112,-0.05959161,0.30272560
113,0.01492439,-0.03580875
114,0.04547113,0.73742895
115,-0.08946141,0.21009265
116,-0.01032632,0.02997376
117,-0.04408797,0.31298975
118,-0.00650500,-0.49069123
119,-0.07653496,-0.84491044
120,-0.01979182,0.42521934
121,-0.01675930,0.04547037
122,0.03802054,-0.09583477
123,0.05396548,0.73072783
124,0.04504370,0.68336707
125,0.03880038,-0.41435663
126,0.04209583,-0.10885799
127,-0.07567237,0.36918312
128,-0.07711933,0.12744397
129,-0.00939554,0.47303454
130,-0.05564417,-0.86874962
131,-0.02353142,0.46256011
132,0.00707712,-0.48219987
133,-0.09238325,-0.76542310
134,0.08293676,-0.30984106
135,-0.05216302,0.29831162
136,-0.03097087,0.10114972
137,0.16478878,-1.00000035
138,0.07992667,-0.26701205
139,-0.06123999,-0.68820529
140,-0.05693976,0.25825373
141,0.01130859,-0.50425947
142,0.00730839,-0.50782787
143,-0.07910679,0.26823119
144,0.05626447,-0.26215750
145,-0.03765671,0.39335635
146,0.05529395,-0.14883411
147,0.05806633,-0.15948448
148,0.06289584,-0.25481590
149,-0.04585882,0.07061259
150,0.03273629,0.93962471
151,0.07631904,-0.25331764
152,-0.03943077,-0.88506408
153,-0.06938165,-0.67518936
154,0.07275892,-0.23165215
155,0.07391931,0.73667548
156,0.09079719,-0.22229562
157,0.05716990,0.65668193
158,0.00828060,-0.46577928
159,-0.02483311,0.44343428
160,-0.07703958,-0.66413967
161,0.07097327,0.70451094
162,-0.06800007,0.28674825
163,-0.01069868,0.02879663
164,-0.00324868,0.98692195
165,-0.06316139,0.30482896
166,0.00439956,0.96544479
167,-0.07019096,0.24916027
168,0.04577517,0.87939630
169,-0.06438940,0.37061812
170,-0.04398422,0.09819611
171,0.06517979,-0.26179052
172,0.08154651,-0.21078810
173,0.05895336,-0.14253558
174,-0.07251310,-0.69846110
175,-0.03824242,0.07950893
176,0.00004454,0.99566896
177,-0.08733986,0.32694696
178,0.11648538,-1.00000025
179,-0.00276972,-0.49429953
180,0.07617084,0.71512553
181,-0.07798830,0.16435436
182,-0.08723434,-0.80741043
183,-0.01788641,0.03328473
184,-0.05053800,-0.58308152
185,0.04949930,0.87393700
186,-0.05496726,0.34788121
187,-0.01584019,0.02592258
188,-0.03652373,0.44353815
189,-0.01800329,0.02753736
190,0.07485333,-0.26447606
191,-0.05343497,0.32217399
192,0.04678982,-0.42652757
193,-0.06543266,0.29890073
194,0.03233624,0.60422584
195,0.05209296,0.61008442
196,-0.02325807,-0.54734810
197,0.02675616,-0.06255755
198,0.07374319,0.83919495
199,-0.07435640,-0.72949299
200,-0.06096200,-0.64304107
201,-0.09043387,-0.71447198
202,0.13230885,-1.00000034
203,0.03833029,-0.39549385
204,0.05047266,-0.11937226
205,0.02474295,0.93042421
206,0.03146074,-0.45754021
207,0.07372321,0.79347893
208,0.00170681,-0.00919123
209,0.00789180,-0.52148832
210,0.06253032,-0.27282409
211,-0.04622243,0.42283539
212,0.06678967,-0.27545472
213,0.06158970,-0.15000305
214,0.05611932,-0.16415522
215,-0.07694025,0.26976056
216,0.05919044,0.81510152
217,0.20480330,-1.04400159
218,-0.06537458,0.12385532
219,0.05887779,0.74995545
220,-0.08398066,-0.75078876
221,0.07973770,-0.99261469
222,0.03169739,0.91104997
223,0.05310791,0.60152564
224,-0.00079061,0.50763927
225,-0.06597333,-0.85814052
226,-0.07066992,0.14582717
227,-0.07193558,0.15701555
228,-0.03024241,-0.57510329
229,0.07000539,0.69908799
230,-0.08103116,0.21806100
231,-0.02714803,0.45794214
232,0.03775683,0.90008778
233,-0.06934136,0.20593368
234,0.01508945,0.53535901
235,-0.02353450,-0.54532479
236,-0.08367928,-0.64595978
237,-0.07368162,-0.75722322
238,-0.05642299,0.08756293
239,-0.09385666,-0.73523568
240,-0.02715586,-0.54827916
241,-0.07148593,0.16461194
242,0.00637845,0.51390955
243,0.03117336,0.90222796
244,0.06730098,0.76020644
245,0.01195145,0.54057108
246,-0.08608076,0.29917584
247,-0.06222832,0.34740065
248,-0.08188997,0.18031437
249,0.19575949,-1.04150304
250,0.02961275,0.57429915
251,0.08252072,-0.27420298
252,0.04703067,0.60119370
253,0.01516008,0.97192609
254,0.08456632,-0.33290012
255,0.06528213,0.85636147
256,0.01755856,0.54443301
257,0.04532545,-0.43808190
258,0.05362523,-0.37369157
259,0.06587875,0.71163262
260,-0.07171744,-0.72610233
261,0.04136830,0.61136607
262,-0.01683010,-0.54642079
263,0.01830880,-0.45433712
264,-0.05261473,0.38869729
265,0.07706863,0.79394716
266,0.01089427,0.51054838
267,0.08309562,0.80847390
268,0.07036178,0.80882802
269,-0.03276186,0.07212609
270,-0.07101587,0.19723781
271,0.06209305,-0.38660663
272,0.03710390,-0.12324631
273,-0.08618483,-0.73039369
274,-0.06276619,0.22854262
275,-0.00480359,0.97154434
276,-0.07197524,-0.70804409
277,-0.06188473,0.35588019
278,-0.06740203,0.20050312
279,-0.07510811,0.30367866
280,0.06058298,0.66934242
281,-0.03151013,0.47026921
282,0.03241474,-0.43969728
283,0.05539561,-0.10723448
284,-0.08698396,0.16662536
285,0.00988240,-0.50246523
286,-0.03864001,0.06636768
287,0.04035224,-0.09366070
288,-0.04603129,0.45273279
289,-0.01349869,-0.89972541
290,-0.05234566,-0.58955163
291,-0.02413896,-0.89663195
292,-0.09157622,-0.71354051
293,-0.07598376,0.31284463
294,0.03196885,-0.46001968
295,0.05479082,-0.16528816
296,0.04351434,0.90776284
297,0.07176865,-0.29360650
298,0.07460817,-0.34200847
299,-0.07093253,0.31428488
300,-0.01722889,-0.54233370
301,0.06215783,0.90006938
302,-0.06354324,0.15634685
303,0.07396626,0.74066729
304,-0.06960386,0.32120432
305,0.14200506,-1.00000034
306,0.08470445,0.80870210
307,0.11774721,-1.00000025
308,-0.05614291,0.39990116
309,-0.02266211,0.08379156
310,-0.07267956,0.23228407
311,-0.03289757,0.42269337
312,0.07759019,-0.25863780
313,-0.06698551,-0.84071293
314,-0.06018769,0.30001408
315,0.06670293,0.74062262
316,-0.04041971,0.34354334
317,0.05731156,-0.15329413
318,-0.03915145,0.06459812
319,-0.08317961,0.21956053
320,-0.02220542,0.04354816
321,0.15456831,-1.00000037
322,-0.07420333,-0.67100891
323,-0.06337834,-0.85722209
324,0.00878025,-0.43002627
325,0.05922646,-0.36010601
326,-0.00318340,-0.52368954
327,0.07660930,0.81013060
328,-0.01229372,0.48638146
329,0.16146160,-1.00419653
330,-0.04571336,-0.61588109
331,0.04119772,0.89058971
332,-0.05777064,0.10757752
333,0.00419895,0.02513301
334,-0.03112090,0.05737581
335,0.02921044,0.93335673
336,0.05584190,0.86161876
337,-0.05889675,0.34880634
338,-0.05744308,0.09906799
339,0.01826380,0.56113458
340,0.03008649,-0.46540932
341,-0.04477111,0.42198163
342,0.05422667,-0.13026878
343,-0.09554741,-0.82966517
344,0.03690156,-0.42729133
345,-0.00336748,0.49349100
346,0.05715432,-0.29143537
347,-0.01339028,0.44696382
348,-0.06287652,0.12754513
349,0.01812855,0.97191036
350,0.05680724,-0.20157378
351,-0.04531963,0.36899455
352,0.09079131,-0.21420989
353,-0.07725977,-0.83942348
354,0.05860683,0.70105695
355,0.17753052,-1.01588404
356,0.00419159,0.50696500
357,0.01316750,0.53494030
358,0.07045971,-0.33895608
359,-0.03110173,-0.55267379
360,-0.06998435,0.25824126
361,0.05920529,-0.18193681
362,0.05396128,0.68208997
363,-0.00571424,0.47098507
364,-0.03008271,0.05883411
365,0.09854042,-0.33630670
366,0.06794021,0.76019357
367,0.04122221,-0.11763312
368,-0.08307840,0.21956857
369,0.07384059,-0.23570328
370,-0.00186085,0.51033643
371,0.00950564,0.54917576
372,-0.06118289,0.22001560
373,0.03609987,-0.11726474
374,0.07889941,0.69253571
375,0.04328255,0.60501883
376,-0.03499525,-0.55215503
377,0.08474474,0.82791520
378,0.06008667,0.68051082
379,0.04984563,0.66742274
380,-0.06970724,0.28383532
381,0.02111150,0.52204178
382,0.00724145,0.50285660
383,-0.07579261,-0.76409323
384,0.08990482,-0.26496238
385,0.05586874,0.64131157
386,0.06284874,0.66404071
387,-0.02687563,0.05129704
388,0.02775221,-0.42430033
389,0.07023233,0.78748416
390,-0.06890885,-0.78265702
391,-0.06591934,-0.86793924
392,0.02438121,0.52836039
393,-0.05695551,0.34832842
394,-0.07754988,0.29506313
395,0.07065294,0.75434018
396,0.06995107,-0.13499578
397,-0.08341601,0.20807595
398,0.07081430,0.68611714
399,-0.02499392,0.41955575
400,-0.00252650,0.97428046
401,0.04561830,0.59893792
402,0.00481952,-0.50159669
403,-0.06536689,-0.62777065
404,0.04154244,0.90796031
405,0.06181278,0.70359151
406,0.04544685,0.87475589
407,-0.02922864,-0.53796020
408,-0.03980963,0.39965270
409,-0.08732863,-0.82975425
410,0.03831281,0.89078378
411,-0.04058528,0.06276563
412,0.05242621,-0.20074816
413,0.01858546,0.56106500
414,0.07037330,0.84387036
415,-0.06643368,0.35268286
416,-0.06796293,-0.74559866
417,0.11771316,-1.00000025
418,0.03107383,0.91959778
419,-0.06225482,0.37948358
420,0.03692549,-0.04015828
421,0.03231339,-0.41491488
422,0.07002068,-0.19295330
423,0.06887218,-0.39696802
424,-0.02021251,0.45876518
425,0.05612861,-0.37315005
426,-0.05913867,-0.62243132
427,-0.02724527,-0.57070395
428,0.07238567,-0.16209473
429,0.06838053,0.84590323
430,-0.08107099,0.28280167
431,0.05965268,-0.36207754
432,0.07337211,-0.24941134
433,0.05569524,0.73343085
434,0.06042982,-0.18057863
435,0.07455054,-0.39601876
436,-0.06586590,0.36373150
437,0.08116001,-0.23114557
438,0.00776690,0.53765205
439,-0.02586469,-0.54629777
440,-0.07130620,0.15925514
441,0.04441626,0.66419394
442,0.05930573,0.67050793
443,-0.04759172,-0.86478846
444,0.19965406,-1.04404617
445,0.10565428,-0.99873819
446,0.04720140,0.64591963
447,-0.07236307,0.16067387
448,0.04732637,-0.41441031
449,-0.07089015,0.20713986
450,0.08714749,-0.30516718
451,-0.00422352,0.97643298
452,0.08441723,-0.21299856
453,-0.05438593,0.10552770
454,0.02490483,0.56459224
455,-0.02446218,-0.52910151
456,-0.07070770,0.15693096
457,0.07116165,-0.29160341
458,0.00572540,-0.03443786
459,-0.07026561,0.30395432
460,-0.06737051,0.15108946
461,0.05765037,-0.17504536
462,0.06512261,-0.38646886
463,0.06341562,-0.30979888
464,0.08247329,-0.29726258
465,-0.03724759,-0.57145334
466,-0.05696668,0.34356309
467,0.03814059,-0.14834414
468,0.07496018,-0.30321310
469,0.06141449,-0.17663568
470,0.06551952,-0.14974892
471,0.03094731,-0.42265412
472,0.08237545,-0.22363270
473,-0.08846617,0.21689503
474,0.08493003,0.79311906
475,0.05269449,-0.40992900
476,-0.06852672,-0.62899648
477,-0.05460464,-0.69016392
478,0.08320641,-0.99393817
479,0.06953270,0.80558137
480,-0.05106824,0.37261532
481,-0.06549781,-0.85307424
482,-0.02408844,0.44118640
483,0.08155963,-0.30024758
484,-0.06181534,0.14302640
485,0.07384039,-0.31928999
486,0.01896776,-0.05888394
487,0.06800971,0.80113811
488,0.06716292,0.66056488
489,0.05937681,-0.24474248
490,0.06986086,-0.22305163
491,-0.09944526,-0.71540843
492,-0.07336826,0.14449334
493,-0.10212511,-0.79541071
494,0.08360256,0.77187950
495,0.05053339,0.73673223
496,0.05415288,0.65189240
497,0.13840936,-1.00000034
498,0.06131533,-0.39149948
499,-0.01871909,-0.55120826
500,0.07393559,-0.18521462
501,0.04825353,0.88944678
